"Department","Department Name","Division","Gender","Base Salary","2024 Overtime Pay","2024 Longevity Pay","Grade"
"COR","Correction and Rehabilitation","COR 42 DS MCDC Custody and Security","M","$94,208","$21,627.07","$0","C4"
"PIO","Office of Public Information","PIO 23 Web Content and Graphic Management","M","$136,188","$0","$0","N26"
"FRS","Fire and Rescue Services","FRS 45 First Battalion - Administration","M","$136,743","$46,868.5","$1,610.7","B2"
"FRS","Fire and Rescue Services","FRS 45 Station 35","M","$100,215","$2,399.88","$3,411.19","F3"
"DOT","Department of Transportation","DOT 50 Parking Management","F","$91,392","$0","$0","N17"
"HHS","Department of Health and Human Services","HHS 60 Child Welfare Services","F","$59,515.89","$0","$6,619.49","23"
"DGS","Department of General Services","DGS 36 Facilities","F","$108,899","$20,261.71","$6,831.44","N21"
"POL","Department of Police","POL 47 MSB Personnel Division","M","$95,458","$0","$5,988.2","N18"
"FRS","Fire and Rescue Services","FRS 45 Station 15","M","$100,215","$0","$2,767.4","F3"
"FRS","Fire and Rescue Services","FRS 45 Fourth Battalion - Administration","M","$121,266","$0","$0","B1"
"DGS","Department of General Services","DGS 36 Fleet Management Fleet Services","M","$99,719","$4,337.64","$6,255.51","19"
"DOT","Department of Transportation","DOT 50 Transit Silver Spring Ride On","M","$90,927.54","$54,225.86","$0","T1"
"POL","Department of Police","POL 47 PSB 1st District Patrol","M","$120,984","$18,399.07","$12,899.5","P5"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$143,581.79","$0","$0","M3"
"POL","Department of Police","POL 47 FSB Traffic Division Collision Reconstruction","M","$115,223","$28,739.94","$12,285.18","P4"
"POL","Department of Police","POL 47 PSB 3rd District Patrol","M","$133,078","$22,617.49","$9,295.69","A1"
"FRS","Fire and Rescue Services","FRS 45 Station 40","M","$136,743","$38,412.24","$7,581.88","B2"
"HCA","Department of Housing and Community Affairs","HCA 76 Community Development Neighborhood Revitalization","F","$130,181","$0","$12,449.85","25"
"FRS","Fire and Rescue Services","FRS 45 Station 35","M","$110,232","$70.97","$6,076.14","F4"
"FRS","Fire and Rescue Services","FRS 45 Station 17","M","$100,215","$1,815.46","$10,696.92","F3"
"POL","Department of Police","POL 47 FSB Traffic Division Central Traffic Enforcement","M","$115,223","$23,638.91","$12,285.18","P4"
"DPS","Department of Permitting Services","DPS 75 Land Development Sediment and Stormwater Inspection","M","$169,555","$0","$0","M3"
"POL","Department of Police","POL 47 MSB Training and Education Division","M","$115,223","$3,550.5","$7,898.04","P4"
"POL","Department of Police","POL 47 MSB Communications Division","M","$136,188","$0","$13,024.23","26"
"POL","Department of Police","POL 47 PSB 5th District Patrol","M","$115,223","$41,364.52","$10,042.43","P4"
"POL","Department of Police","POL 47 PSB 4th District Patrol","M","$133,078","$36,008.16","$14,188.96","A1"
"OIG","Office of the Inspector General","OIG 06 Office of the Inspector General","F","$149,112","$0","$0","N28"
"FRS","Fire and Rescue Services","FRS 45 Station 16","M","$110,232","$5,777.65","$8,980.08","F4"
"POL","Department of Police","POL 47 PSB 5th District Patrol","M","$133,078","$14,135.21","$9,121.76","A1"
"POL","Department of Police","POL 47 PSB 5th District Patrol","M","$115,223","$10,552.54","$8,048.63","P4"
"FRS","Fire and Rescue Services","FRS 45 Planning and Accreditation","F","$136,188","$0","$8,543.3","26"
"POL","Department of Police","POL 47 PSB 5th District Patrol","F","$87,523","$4,127.8","$8,370.23","16"
"FRS","Fire and Rescue Services","FRS 45 Station 19","M","$110,232","$61,343.3","$3,823.84","F4"
"FRS","Fire and Rescue Services","FRS 45 Station 2","M","$136,743","$29,046.3","$9,562.26","B2"
"FRS","Fire and Rescue Services","FRS 45 Station 4","M","$100,215","$15,022.9","$1,214.19","F3"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$62,232","$0","$2,529.38","24"
"POL","Department of Police","POL 47 PSB 4th District Patrol","M","$133,078","$34,279.44","$14,008.95","A1"
"POL","Department of Police","POL 47 PSB 3rd District Patrol","M","$115,223","$52,436.04","$12,285.18","P4"
"POL","Department of Police","POL 47 PSB 1st District Patrol","M","$133,078","$12,762.4","$14,188.96","A1"
"FRS","Fire and Rescue Services","FRS 45 Station 20","M","$100,215","$10,295.89","$3,723.08","F3"
"CEX","Offices of the County Executive","CEX 15 County Executive's Office","F","$92,000","$0","$0","EX3"
"POL","Department of Police","POL 47 PSB 5th District Patrol","M","$115,223","$2,498.55","$5,881.61","P4"
"POL","Department of Police","POL 47 PSB 3rd District Station","M","$202,747","$70,713.57","$0","A3"
"FRS","Fire and Rescue Services","FRS 45 Station 18","M","$136,743","$144,848.85","$14,595.82","B2"
"FRS","Fire and Rescue Services","FRS 45 Station 17","M","$110,232","$8,670.99","$4,095.18","F4"
"FRS","Fire and Rescue Services","FRS 45 Station 18","M","$121,266","$71,466.78","$4,127.79","B1"
"POL","Department of Police","POL 47 PSB 5th District Patrol","M","$115,223","$38,389.89","$5,881.61","P4"
"FRS","Fire and Rescue Services","FRS 45 Third Battalion - Administration","M","$157,431","$0","$15,561.27","B3"
"POL","Department of Police","POL 47 MSB Training and Education Division","M","$133,078","$18,630.29","$14,188.96","A1"
"POL","Department of Police","POL 47 PSB 6th District Patrol","F","$115,223","$9,504.56","$8,189.88","P4"
"POL","Department of Police","POL 47 CRB Community Engagement Division Community Engagement Section","F","$133,078","$10,038.34","$14,188.96","A1"
"POL","Department of Police","POL 47 MSB Information Mgmt and Tech Division Telephone Reporting Section","M","$128,578","$0","$1,134.5","A1"
"POL","Department of Police","POL 47 PSB 2nd District Patrol","F","$115,223","$4,607.42","$12,285.18","P4"
"POL","Department of Police","POL 47 FSB Traffic Division School Safety Section","F","$33,946.57","$0","$503.03","10"
"POL","Department of Police","POL 47 PSB 3rd District Patrol","M","$115,223","$46,703.02","$4,757.83","P4"
"LIB","Department of Public Libraries","LIB 71 Aspen Hill Library","F","$31,287.5","$0","$965.76","8"
"HHS","Department of Health and Human Services","HHS 60 Child Welfare Services","F","$136,188","$4,061.55","$0","N26"
"FRS","Fire and Rescue Services","FRS 45 Station 1","M","$100,215","$0","$3,443.82","F3"
"HHS","Department of Health and Human Services","HHS 60 Services to End and Prevent Homelessness Division","F","$91,347","$0","$2,929.36","18"
"REC","Department of Recreation","REC 72 Aquatic Team Management","F","$130,181","$269.52","$0","N25"
"POL","Department of Police","POL 47 PSB 1st District Station","M","$202,747","$10,131.4","$0","A3"
"POL","Department of Police","POL 47 PSB 4th District Patrol","M","$115,223","$11,021.69","$12,285.18","P4"
"POL","Department of Police","POL 47 PSB 1st District Patrol","M","$115,223","$793.34","$12,285.18","P4"
"POL","Department of Police","POL 47 FSB Special Operations Division Tactical Operations Section","M","$115,223","$20,244.39","$8,048.63","P4"
"POL","Department of Police","POL 47 PSB 5th District Community Operations","M","$115,223","$20,290.94","$10,042.43","P4"
"POL","Department of Police","POL 47 PSB 6th District Station","F","$87,523","$173.69","$8,370.23","16"
"FRS","Fire and Rescue Services","FRS 45 Emergency Medical & Integrated Healthcare Services","M","$136,743","$100,466.16","$0","B2"
"POL","Department of Police","POL 47 FSB Traffic Division School Safety Section","F","$23,435.37","$0","$0","10"
"POL","Department of Police","POL 47 MSB Training and Education Division","M","$133,078","$12,667.23","$14,188.96","A1"
"POL","Department of Police","POL 47 MSB Training and Education Division","M","$120,984","$14,894.7","$12,899.5","P5"
"DEP","Department of Environmental Protection","DEP 80 Director","F","$95,458","$0","$2,946.31","N18"
"POL","Department of Police","POL 47 PSB 5th District Patrol","M","$133,078","$70,996.35","$9,295.69","A1"
"FRS","Fire and Rescue Services","FRS 45 Third Battalion - Administration","M","$121,266","$54,051.41","$0","B1"
"POL","Department of Police","POL 47 PSB 1st District Community Operations","F","$115,223","$1,712.11","$5,881.61","P4"
"FRS","Fire and Rescue Services","FRS 45 Station 23","M","$121,266","$45,249.35","$0","B1"
"FRS","Fire and Rescue Services","FRS 45 Station 29","M","$110,232","$33,561.81","$0","F4"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","F","$124,464","$0","$11,903.04","24"
"HHS","Department of Health and Human Services","HHS 60 Services to End and Prevent Homelessness Division","F","$119,032","$0","$7,467.13","23"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","F","$124,464","$0","$3,841.51","24"
"FRS","Fire and Rescue Services","FRS 45 Station 31","M","$100,215","$24,272.74","$0","F3"
"FRS","Fire and Rescue Services","FRS 45 Station 6","M","$110,232","$27,219.4","$4,131.02","F4"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","F","$87,523","$12,463.12","$2,602.79","16"
"ABS","Alcohol Beverage Services","ABS 85 Kingsview","M","$108,899","$0","$6,831.51","N21"
"POL","Department of Police","POL 47 FSB Traffic Division School Safety Section","F","$34,763.38","$0","$621.3","10"
"HHS","Department of Health and Human Services","HHS 60 Child Welfare Services","F","$137,317.27","$0","$0","M3"
"SHF","Sheriff's Office","SHF 48 Court and Transport","F","$123,648","$8,959.44","$8,363.56","D1"
"POL","Department of Police","POL 47 CRB Community Engagement Division Community Engagement Section","M","$115,223","$17,307.65","$12,285.18","P4"
"POL","Department of Police","POL 47 FSB Traffic Division School Safety Section","F","$33,946.57","$0","$1,775.94","10"
"POL","Department of Police","POL 47 PSB 6th District Patrol","M","$115,223","$95,803.08","$12,285.18","P4"
"COR","Correction and Rehabilitation","COR 42 DS MCDC Custody and Security","M","$127,803","$23,288.9","$4,248.03","C1"
"FRS","Fire and Rescue Services","FRS 45 Station 18","M","$110,232","$58,299.52","$1,335.52","F4"
"FRS","Fire and Rescue Services","FRS 45 Station 34","M","$100,215","$64,334.89","$3,476.36","F3"
"POL","Department of Police","POL 47 PSB 2nd District Station","F","$202,747","$1,934.25","$0","A3"
"POL","Department of Police","POL 47 FSB Traffic Division Central Traffic Enforcement","M","$115,223","$3,229.07","$12,285.18","P4"
"DOT","Department of Transportation","DOT 50 Highway Services","M","$87,785.5","$11,159.84","$0","N18"
"POL","Department of Police","POL 47 MSB Management and Budget Division","F","$87,523","$666.04","$3,261.41","16"
"SHF","Sheriff's Office","SHF 48 Warrant Section","M","$113,014","$4,539.57","$3,755.65","G4"
"LIB","Department of Public Libraries","LIB 71 White Oak Library","F","$56,008.68","$0","$4,459.53","21"
"LIB","Department of Public Libraries","LIB 71 Collection Management","F","$87,523","$0","$2,701.48","16"
"POL","Department of Police","POL 47 MSB Personnel Division Recruitment Section","F","$115,223","$3,767.97","$12,285.18","P4"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Vendor and Contract Management","F","$130,181","$0","$8,686.94","25"
"DOT","Department of Transportation","DOT 50 Transit Nicholson Ride On","F","$90,927.54","$7,570.25","$0","T1"
"ABS","Alcohol Beverage Services","ABS 85 Cabin John","M","$108,899","$0","$0","N21"
"POL","Department of Police","POL 47 FSB Traffic Division School Safety Section","F","$33,946.57","$117.42","$874.28","10"
"DPS","Department of Permitting Services","DPS 75 Zoning and Site Plan Compliance","M","$119,032","$0","$7,467.13","23"
"POL","Department of Police","POL 47 PSB 1st District Patrol","F","$115,223","$3,907.03","$12,285.18","P4"
"POL","Department of Police","POL 47 PSB 5th District Patrol","F","$115,223","$2,062.93","$12,285.18","P4"
"CEC","Community Engagement Cluster","CEC 16 Regional Services Centers","M","$184,000","$0","$0","EX3"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","F","$124,464","$521.51","$5,867.55","24"
"COR","Correction and Rehabilitation","COR 42 DS MCCF Unit 1 Security","M","$101,769","$2,622.9","$4,180.49","C5"
"SHF","Sheriff's Office","SHF 48 Civil Process","M","$123,648","$11,935.45","$4,282.27","D1"
"CEC","Community Engagement Cluster","CEC 16 Wheaton Urban District","F","$124,464","$0","$3,841.51","24"
"COR","Correction and Rehabilitation","COR 42 PRRS Reentry Services and Programs","M","$164,728.96","$0","$0","M3"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","M","$91,392","$0","$5,733.27","17"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","F","$124,464","$0","$11,903.04","24"
"DOT","Department of Transportation","DOT 50 Transportation Technical Center","M","$104,197","$5,433.38","$9,964.8","20"
"COR","Correction and Rehabilitation","COR 42 DS MCDC Central Processing Unit","M","$127,803","$39,694.2","$4,248.03","C1"
"DOT","Department of Transportation","DOT 50 Transit Gaithersburg Ride On","M","$93,145.03","$16,723.9","$0","T1"
"FRS","Fire and Rescue Services","FRS 45 Station 6","M","$100,215","$9,754.92","$3,443.81","F3"
"POL","Department of Police","POL 47 FSB Traffic Division Central Traffic Enforcement","M","$115,223","$6,399.26","$12,285.18","P4"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$73,284.75","$0","$3,177.17","16"
"SHF","Sheriff's Office","SHF 48 Evictions","M","$104,997","$0","$2,841.04","G4"
"COR","Correction and Rehabilitation","COR 42 PRRS Facility and Security","M","$113,837","$34,980.48","$7,141.27","22"
"DOT","Department of Transportation","DOT 50 Transit Silver Spring Ride On","M","$100,350.82","$13,633.54","$0","T2"
"POL","Department of Police","POL 47 PSB 1st District Patrol","M","$115,223","$2,272.07","$12,285.18","P4"
"POL","Department of Police","POL 47 MSB Training and Education Division","M","$115,223","$596.24","$3,955.13","P4"
"HHS","Department of Health and Human Services","HHS 60 Child Welfare Services","F","$119,032","$0","$11,383.55","23"
"COR","Correction and Rehabilitation","COR 42 DS MCDC Custody and Security","M","$106,349","$45,528.9","$7,193.42","C5"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$113,837","$0","$10,886.73","22"
"FRS","Fire and Rescue Services","FRS 45 Admin Services","M","$173,161","$9","$12,109.06","B4"
"COR","Correction and Rehabilitation","COR 42 PRRS Facility and Security","M","$104,197","$32,571.29","$5,165.76","20"
"POL","Department of Police","POL 47 MSB Communications Division","M","$99,719","$17,065.02","$6,255.51","19"
"POL","Department of Police","POL 47 PSB 5th District Patrol","M","$115,223","$31,556.23","$12,285.18","P4"
"DGS","Department of General Services","DGS 36 Fleet Management Fleet Services","M","$99,719","$0","$3,077.85","19"
"POL","Department of Police","POL 47 PSB 1st District Community Operations","M","$115,223","$10,354.76","$12,285.18","P4"
"COR","Correction and Rehabilitation","COR 42 DS MCCF Unit 1 Security","F","$106,349","$5,647.5","$3,506.11","C5"
"POL","Department of Police","POL 47 PSB 1st District Station","F","$87,523","$0","$0","16"
"DGS","Department of General Services","DGS 36 Fleet Management Fleet Services","M","$99,719","$4,274.19","$6,255.51","19"
"DEP","Department of Environmental Protection","DEP 80 Materials Management","M","$130,181","$0","$0","N25"
"POL","Department of Police","POL 47 MSB Information Mgmt and Tech Division Warrant Control Section","M","$87,523","$2,047.45","$2,701.48","16"
"POL","Department of Police","POL 47 MSB Communications Division","F","$108,899","$308.67","$0","21"
"FRS","Fire and Rescue Services","FRS 45 Station 21","M","$136,743","$56,288.37","$0","B2"
"HHS","Department of Health and Human Services","HHS 60 Services to End and Prevent Homelessness Division","F","$95,458","$0","$9,129.02","18"
"OMB","Office of Management and Budget","OMB 31 Office of Management and Budget","F","$168,915.62","$0","$0","M3"
"COR","Correction and Rehabilitation","COR 42 DS MCDC Custody and Security","M","$98,805","$8,510.99","$2,673.45","C5"
"FRS","Fire and Rescue Services","FRS 45 Station 8","M","$95,441","$2,470.71","$9,788.43","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 8","M","$121,266","$49,872.31","$9,755.01","B1"
"FRS","Fire and Rescue Services","FRS 45 Station 7","F","$100,215","$60,924.76","$6,940.94","F3"
"LIB","Department of Public Libraries","LIB 71 Gaithersburg Library","F","$57,739.5","$0","$5,385.47","13"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$130,181","$0","$0","N25"
"DGS","Department of General Services","DGS 36 Central Duplicating","M","$87,523","$0","$8,370.23","16"
"HHS","Department of Health and Human Services","HHS 60 Children Youth and Family Services Division","F","$103,305.12","$0","$9,879.48","24"
"LIB","Department of Public Libraries","LIB 71 Twinbrook Library","F","$124,464","$0","$11,903.04","24"
"DOT","Department of Transportation","DOT 50 Transit Gaithersburg Ride On","M","$108,899","$8,419.19","$0","N21"
"LIB","Department of Public Libraries","LIB 71 Davis Library","F","$56,355.61","$0","$5,312.96","21"
"ZAH","Office of Zoning and Administrative Hearings","ZAH 05 Zoning and Administrative Hearings","F","$108,899","$0","$3,301.32","N21"
"POL","Department of Police","POL 47 FSB Traffic Division","M","$202,747","$3,188.67","$0","A3"
"COR","Correction and Rehabilitation","COR 42 DS Health Services","F","$124,464","$116,742.69","$3,841.51","24"
"DEP","Department of Environmental Protection","DEP 80 Monitoring and Planning","M","$142,495","$0","$13,627.48","27"
"DOT","Department of Transportation","DOT 50 Parking Management Engineering and Capital Project Management","M","$149,112","$0","$4,602.26","28"
"POL","Department of Police","POL 47 PSB 5th District Patrol","M","$133,078","$86,458.99","$14,188.96","A1"
"DGS","Department of General Services","DGS 36 Automation","M","$156,328","$0","$5,956.57","N30"
"POL","Department of Police","POL 47 FSB Traffic Division Central Traffic Enforcement","M","$133,078","$64,439.5","$14,188.96","A1"
"POL","Department of Police","POL 47 FSB Special Operations Division Tactical Operations Section","M","$115,223","$36,363.33","$8,048.63","P4"
"CCL","County Council","CCL 01 Council Members and Staff","F","$114,568.29","$0","$0","N26"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Human Capital Management","F","$169,555","$0","$0","M3"
"COR","Correction and Rehabilitation","COR 42 PTS Intervention Program for Substance Abusers","F","$80,335","$0","$5,020.72","14"
"FRS","Fire and Rescue Services","FRS 45 Station 31","M","$121,266","$28,716.94","$4,012.05","B1"
"POL","Department of Police","POL 47 FSB Traffic Division Collision Reconstruction","M","$115,223","$16,454.02","$10,042.43","P4"
"POL","Department of Police","POL 47 MSB  Professional Accountability Division","M","$133,078","$0","$14,188.96","A1"
"FRS","Fire and Rescue Services","FRS 45 Station 16","M","$110,232","$21,738.75","$3,788","F4"
"POL","Department of Police","POL 47 PSB 4th District Patrol","F","$133,078","$4,452.21","$11,598.49","A1"
"FRS","Fire and Rescue Services","FRS 45 Station 14","M","$100,215","$20,717.17","$3,443.77","F3"
"FRS","Fire and Rescue Services","FRS 45 Station 33","M","$136,743","$26,795.95","$11,136.62","B2"
"FRS","Fire and Rescue Services","FRS 45 Station 16","M","$136,743","$10,008.32","$9,565.43","B2"
"FRS","Fire and Rescue Services","FRS 45 Station 32","M","$136,743","$35,383.75","$9,471.78","B2"
"FRS","Fire and Rescue Services","FRS 45 Station 34","M","$110,232","$25,068.15","$3,787.99","F4"
"POL","Department of Police","POL 47 PSB 5th District Patrol","F","$115,223","$24,864.47","$8,048.63","P4"
"FRS","Fire and Rescue Services","FRS 45 Station 30","M","$136,743","$60,419.5","$14,595.78","B2"
"POL","Department of Police","POL 47 PSB 6th District Special Assignment Team","M","$115,223","$36,908.86","$8,048.63","P4"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Enterprise Information Security Office","M","$169,555","$0","$0","M3"
"FRS","Fire and Rescue Services","FRS 45 Station 6","M","$136,743","$0","$14,503.66","B2"
"ABS","Alcohol Beverage Services","ABS 85 Retail Administration","M","$73,804","$161.62","$7,058.33","12"
"FRS","Fire and Rescue Services","FRS 45 Station 35","M","$110,232","$13,778.65","$3,788","F4"
"DGS","Department of General Services","DGS 36 Fleet Management Fleet Services","M","$113,837","$847.64","$3,513.57","N22"
"FRS","Fire and Rescue Services","FRS 45 Station 16","M","$100,215","$1,396.55","$0","F3"
"OLO","Office of Legislative Oversight","OLO 03 Office of Legislative Oversight","F","$164,635.78","$0","$0","M2"
"FRS","Fire and Rescue Services","FRS 45 Station 3","M","$100,215","$13,996.59","$2,792.04","F3"
"FRS","Fire and Rescue Services","FRS 45 Field Operations Administration","M","$136,743","$72,529.73","$7,492.96","B2"
"POL","Department of Police","POL 47 PSB 3rd District Patrol","M","$133,078","$602.94","$9,121.76","A1"
"POL","Department of Police","POL 47 PSB 6th District Patrol","M","$133,078","$14,054.35","$14,188.96","A1"
"POL","Department of Police","POL 47 MSB Communications Division","F","$108,899","$7,130.37","$5,268.28","N21"
"FRS","Fire and Rescue Services","FRS 45 Emergency Communications Center (ECC)","M","$100,215","$5,442.12","$3,522.22","F3"
"COR","Correction and Rehabilitation","COR 42 DS MCDC Custody and Security","M","$94,208","$58,999.58","$4,456.93","C4"
"DGS","Department of General Services","DGS 36 Fleet Management Fleet Services","M","$99,719","$27,774.28","$2,733.79","19"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$104,197","$19.4","$3,216","20"
"DGS","Department of General Services","DGS 36 Fleet Management Fleet Services","M","$99,719","$12,582.72","$2,849.6","19"
"FRS","Fire and Rescue Services","FRS 45 Station 19","M","$100,215","$16,225.21","$3,443.82","F3"
"POL","Department of Police","POL 47 Field Services Bureau","M","$116,893","$0","$1,109.98","P5"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","F","$76,986","$0","$2,376.18","13"
"POL","Department of Police","POL 47 MSB Personnel Division Administration","F","$130,181","$0","$0","N25"
"DOT","Department of Transportation","DOT 50 Transit Gaithersburg Ride On","M","$94,253","$20,877.64","$0","T1"
"POL","Department of Police","POL 47 PSB 2nd District Patrol","F","$87,523","$13,655.15","$8,370.23","16"
"ABS","Alcohol Beverage Services","ABS 85 Beer Delivery Operations","M","$67,893","$3,196.34","$2,095.61","10"
"DGS","Department of General Services","DGS 36 Facilities Maintenance","M","$99,719","$34,819.64","$3,077.85","19"
"DGS","Department of General Services","DGS 36 Facilities","M","$195,357.1","$0","$0","M2"
"POL","Department of Police","POL 47 PSB 2nd District Station","M","$173,883.13","$2,275.68","$0","A2"
"POL","Department of Police","POL 47 PSB 5th District Patrol","M","$111,327","$14,449.96","$5,107.05","P4"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 ODT Web Solutions Team","F","$149,112","$0","$9,354.05","N28"
"POL","Department of Police","POL 47 PSB 3rd District Patrol","F","$87,523","$38,963.09","$5,490.56","16"
"DOT","Department of Transportation","DOT 50 Transit Nicholson Ride On","M","$101,459.46","$43,260.08","$0","T2"
"COR","Correction and Rehabilitation","COR 42 DS MCCF Case Managers Unit 1","F","$130,181","$0","$8,166.53","N25"
"FRS","Fire and Rescue Services","FRS 45 Station 35","M","$121,266","$8,593.11","$3,378.57","B1"
"POL","Department of Police","POL 47 PSB 6th District Patrol","F","$115,223","$3,293.5","$8,048.63","P4"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","M","$104,197","$1,406.07","$9,964.8","20"
"FRS","Fire and Rescue Services","FRS 45 Station 10","M","$136,743","$41,819.21","$3,809.67","B2"
"CCL","County Council","CCL 01 Council Members and Staff","M","$95,458","$0","$0","N18"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$81,674.25","$0","$6,610.43","21"
"FRS","Fire and Rescue Services","FRS 45 Station 30","M","$110,232","$36,342.51","$0","F4"
"POL","Department of Police","POL 47 PSB 6th District Station","M","$202,742.71","$1,833.24","$0","A3"
"DOT","Department of Transportation","DOT 50 Transit Nicholson Ride On","M","$90,927.54","$1,473.82","$0","T1"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$76,582.63","$0","$1,997.27","16"
"FRS","Fire and Rescue Services","FRS 45 Station 24","M","$121,266","$5,961.06","$8,479.98","B1"
"FIN","Department of Finance","FIN 32 Information Technology","F","$175,191.33","$0","$0","N32"
"POL","Department of Police","POL 47 PSB 5th District Patrol","F","$81,315","$10,839.83","$1,336.88","16"
"DPS","Department of Permitting Services","DPS 75 Land Development Right-of-Way Plan Review","M","$136,188","$0","$4,203.38","26"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Device Client Management","F","$169,555","$0","$0","M3"
"DGS","Department of General Services","DGS 36 Fleet Management Fleet Services","M","$99,719","$0","$6,255.51","19"
"POL","Department of Police","POL 47 PSB 3rd District Patrol","M","$133,078","$2,185.26","$11,598.49","A1"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$76,582.63","$0","$1,963.33","16"
"DOT","Department of Transportation","DOT 50 Highway Services","M","$95,458","$49,632.25","$2,121.04","N18"
"FRS","Fire and Rescue Services","FRS 45 Station 3","M","$110,232","$51,341.23","$3,752.15","F4"
"FRS","Fire and Rescue Services","FRS 45 Fourth Battalion - Administration","M","$121,266","$0","$3,378.57","B1"
"DOT","Department of Transportation","DOT 50 Transportation Materials Testing Lab","M","$116,832.86","$0","$0","23"
"POL","Department of Police","POL 47 MSB Communications Division","F","$99,719","$12,072.36","$3,077.85","19"
"COR","Correction and Rehabilitation","COR 42 DS MCDC Custody and Security","M","$106,349","$18,564.21","$3,520.61","C5"
"FRS","Fire and Rescue Services","FRS 45 Station 19","M","$100,215","$9,437.52","$1,214.19","F3"
"ABS","Alcohol Beverage Services","ABS 85 Liquor and WIne Loading","M","$73,804","$3,248.76","$2,194.88","12"
"POL","Department of Police","POL 47 MSB Communications Division","F","$114,311.62","$23,686.82","$0","N23"
"DGS","Department of General Services","DGS 36 Facilities Maintenance","F","$62,575","$821.6","$3,925.54","8"
"FRS","Fire and Rescue Services","FRS 45 Station 23","F","$136,743","$32,154.43","$7,537.42","B2"
"COR","Correction and Rehabilitation","COR 42 DS MCCF Unit 1 Security","M","$106,349","$30,121.68","$7,193.42","C5"
"DOT","Department of Transportation","DOT 50 Transit Nicholson Ride On","M","$108,899","$1,501.63","$0","N21"
"DOT","Department of Transportation","DOT 50 Transit Nicholson Ride On","M","$90,927.54","$3,135.01","$0","T1"
"LIB","Department of Public Libraries","LIB 71 Kensington Park Library","F","$104,197","$0","$0","N20"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","M","$124,464","$0","$3,841.51","24"
"DGS","Department of General Services","DGS 36 Facilities Maintenance","F","$62,575","$0","$1,931.41","8"
"ABS","Alcohol Beverage Services","ABS 85 Seneca Meadows","M","$108,899","$0","$0","N21"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","M","$124,464","$2,737.62","$3,841.51","24"
"POL","Department of Police","POL 47 FSB Traffic Division School Safety Section","F","$33,946.57","$75.11","$1,913.59","10"
"DGS","Department of General Services","DGS 36 Fleet Automotive Heavy Equipment","M","$99,719","$1,669.71","$6,255.51","19"
"DOT","Department of Transportation","DOT 50 Transit Silver Spring Ride On","M","$90,927.54","$72,483.19","$0","T1"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$104,197","$0","$3,164.49","20"
"DOT","Department of Transportation","DOT 50 Transit Nicholson Ride On","M","$90,927.54","$38,376.28","$0","T1"
"ABS","Alcohol Beverage Services","ABS 85 Kensington","F","$89,094.75","$0","$0","N18"
"DOT","Department of Transportation","DOT 50 Transit Nicholson Ride On","M","$84,477.51","$2,239.61","$0","T1"
"LIB","Department of Public Libraries","LIB 71 Aspen Hill Library","F","$57,739.5","$0","$5,521.97","13"
"DOT","Department of Transportation","DOT 50 Transit Silver Spring Ride On","M","$96,560","$236.63","$0","T2"
"POL","Department of Police","POL 47 FSB Traffic Division School Safety Section","F","$32,484.76","$0","$1,339.05","10"
"LIB","Department of Public Libraries","LIB 71 Germantown Library","F","$31,287.5","$0","$971.94","8"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$124,464","$0","$311.16","24"
"DOT","Department of Transportation","DOT 50 Transit COS Passenger Facilities","M","$95,458","$63.96","$0","N18"
"POL","Department of Police","POL 47 MSB Personnel Division Recruitment Section","M","$133,078","$3,785.63","$14,188.96","A1"
"DOT","Department of Transportation","DOT 50 Transit Silver Spring Ride On","M","$92,036.29","$17,014.04","$0","T1"
"FRS","Fire and Rescue Services","FRS 45 Operations Division","M","$157,431","$0","$8,677.9","B3"
